[0.0s - 18.0s] اَللہ اکبر اَللہ اکبر
[18.0s - 32.0s] اَللہ اکبر اَللہ اکبر
[32.0s - 47.0s] اَشْهَدُ اَللہ اَللہ اَللہ
[48.0s - 64.0s] اَشْهَدُ اَللہ اَللہ اَللہ
[64.0s - 77.0s] اَشْهَدُ اَنَّ مُحَمَّدَ الرَّسُولُ اللَّهِ
[77.0s - 78.0s] اَشْهَدُ اَللہ اَللہ اَللہ اَللہ
[78.0s - 95.0s] اَشْهَدُ اَنَّ مُحَمَّدَ الرَّسُولُ اللَّهِ
[95.0s - 107.0s] حَيْا متُصَلَجیک ل dans Parte 2
[107.0s - 108.0s] ج�وم شهداء آخر
[108.0s - 120.0s] قرآن مرحبا مرحبا
[120.0s - 131.0s] قرآن مرحبا
[132.0s - 133.0s] قرآن مرحبا
[145.0s - 146.0s] قرآن مرحبا
[161.0s - 191.0s] قرآن محمد صلی اللہ علیہ وسلم
[191.0s - 221.0s] قرآن محمد صلی اللہ علیہ وسلم
[221.0s - 251.0s] قرآن محمد صلی اللہ علیہ وسلم
[251.0s - 281.0s] قرآن محمد صلی اللہ علیہ وسلم
[281.0s - 311.0s] قرآن محمد صلی اللہ علیہ وسلم
[311.0s - 341.0s] قرآن محمد صلی اللہ علیہ وسلم
[341.0s - 371.0s] قرآن محمد صلی اللہ علیہ وسلم
[371.0s - 401.0s] قرآن محمد صلی اللہ علیہ وسلم
[401.0s - 431.0s] قرآن محمد صلی اللہ علیہ وسلم
[431.0s - 461.0s] قرآن محمد صلی اللہ علیہ وسلم
[461.0s - 491.0s] قرآن محمد صلی اللہ علیہ وسلم
[491.0s - 521.0s] قرآن محمد صلی اللہ علیہ وسلم
[521.0s - 551.0s] قرآن محمد صلی اللہ علیہ وسلم
[551.0s - 581.0s] قرآن محمد صلی اللہ علیہ وسلم
[581.0s - 611.0s] قرآن محمد صلی اللہ علیہ وسلم
[611.0s - 641.0s] قرآن محمد صلی اللہ علیہ وسلم
[641.0s - 671.0s] قرآن محمد صلی اللہ علیہ وسلم
